UserId,City
1316224915,canberra
380356193,melbourne
433885381,sydney
221942679,sydney
369462842,sydney
2916741357,melbourne
24143474,sydney
27157006,melbourne
22447395,sydney
31482919,sydney
28522213,melbourne
164612959,melbourne
2802876090,melbourne
755058687287304193,melbourne
309439857,melbourne
20763211,melbourne
301202406,perth
15121431,perth
47583758,canberra
50408941,melbourne
15833631,melbourne
43680645,melbourne
23405230,melbourne
39502284,sydney
15184929,sydney
463775491,brisbane
3182232355,adelaide
452541668,melbourne
487179602,adelaide
20505914,melbourne
320557893,perth
384795868,sydney
82302398,melbourne
750383397978120192,melbourne
21867236,melbourne
2366153538,melbourne
160761536,sydney
237927125,melbourne
2697803834,adelaide
34220904,adelaide
4406786179,perth
2757541958,brisbane
2671865225,melbourne
2292018811,melbourne
82200709,melbourne
31370738,sydney
217675842,brisbane
15269888,perth
298357426,sydney
40659915,sydney
821676141815758848,melbourne
15125371,brisbane
22293,sydney
3099288014,adelaide
3254250182,sydney
100755109,melbourne
200008027,brisbane
290969374,melbourne
110624855,sydney
225378174,sydney
112404517,melbourne
458092285,sydney
290330635,melbourne
27585831,sydney
11193552,melbourne
226046661,sydney
318957563,melbourne
717682241900384257,sydney
429745123,perth
7798232,sydney
66569521,brisbane
805703597912563712,brisbane
3006170718,brisbane
21926199,melbourne
1729894855,brisbane
397075587,canberra
946871114,perth
364151734,melbourne
115619170,melbourne
1381765189,sydney
2981036970,sydney
319550389,melbourne
893040802498134016,adelaide
17815732,sydney
308316520,melbourne
67947850,perth
34369055,perth
3781961,brisbane
2321152362,brisbane
929373746,melbourne
15833002,sydney
21361248,brisbane
15095389,sydney
3068788891,sydney
29857660,sydney
880220953979965440,sydney
510556449,sydney
14206085,sydney
308916024,canberra
56744735,perth
323803675,sydney
2166129510,melbourne
2760742098,perth
20192695,melbourne
2835774548,melbourne
573278165,brisbane
240336992,melbourne
26201246,sydney
2362458566,adelaide
40433415,brisbane
186794032,sydney
219296550,adelaide
2577914137,sydney
122262054,adelaide
34749994,melbourne
36184550,canberra
24312457,melbourne
413668517,melbourne
573405113,sydney
33863253,brisbane
758421321617281024,perth
19946692,brisbane
170600989,canberra
558648255,melbourne
532222743,sydney
1580145122,canberra
181037604,canberra
476156758,brisbane
88035263,brisbane
41798844,melbourne
116022518,hobart
431506705,canberra
20018621,perth
110989476,perth
13460112,sydney
2644976360,sydney
37707095,melbourne
274303876,sydney
151175152,sydney
493985677,melbourne
70109181,brisbane
41474182,sydney
241929993,melbourne
18867170,perth
251903621,melbourne
2864023699,brisbane
14724726,sydney
2957086818,melbourne
774853434512056320,perth
471324329,sydney
107311708,perth
4776656634,melbourne
128680753,melbourne
184305080,sydney
23698066,melbourne
782470707045277696,melbourne
2288312378,canberra
863353939995107328,sydney
4123160772,brisbane
781175690108342272,melbourne
2460161334,melbourne
323731195,sydney
717834463397355520,adelaide
977139232585146368,perth
63869562,melbourne
3178674750,canberra
15068203,brisbane
9711912,melbourne
95129455,sydney
767000124,melbourne
296823832,brisbane
75433796,sydney
1724982427,adelaide
2193640700,brisbane
18832811,melbourne
728183571337248768,melbourne
1632154352,sydney
23144467,sydney
925224367,melbourne
877377163,brisbane
155958359,brisbane
3246485138,canberra
18768283,sydney
156002719,melbourne
37290587,melbourne
530881397,perth
2215976798,melbourne
75066258,sydney
712523057659846657,melbourne
549963193,sydney
417999658,adelaide
38573453,adelaide
792245718,sydney
42770916,sydney
110948650,melbourne
258667187,sydney
2189222576,brisbane
69050390,brisbane
172435753,perth
33759695,melbourne
49274179,melbourne
404751932,brisbane
705180184060698624,canberra
1266252523,perth
369042728,brisbane
404754782,melbourne
16989100,hobart
284469326,sydney
203030776,sydney
2520251846,melbourne
502287201,adelaide
152944874,melbourne
247590660,sydney
129274940,sydney
405343484,melbourne
616045082,sydney
3958703233,hobart
301553613,sydney
1547695909,hobart
80489018,melbourne
93461364,sydney
221672591,sydney
