RegionId,Name,Count,SumSentiment,CountExc,SumNeutralExc,Sentiment
123011435,"Mount Annan - Currans Hill",1,57.19,1,57.19,57.19
505021094,"Trigg - North Beach - Watermans Bay",1,40.19,0,0.00,40.19
601051027,"Hobart",19,327.31,4,157.22,17.23
206071139,"Abbotsford",13,150.87,3,182.69,11.61
507051188,"Rockingham",3,-9.09,0,0.00,-3.03
801071085,"Mount Taylor",11,44.04,0,0.00,4.00
801061131,"Kingston (ACT)",14,121.74,1,54.11,8.70
206071142,"Fitzroy",43,343.42,5,238.57,7.99
117021326,"Marrickville",45,578.58,10,548.57,12.86
211051274,"Belgrave - Selby",1,0.00,0,0.00,0.00
122021423,"Warriewood - Mona Vale",23,804.12,9,630.65,34.96
206031116,"Moonee Ponds",8,120.24,2,147.93,15.03
210051248,"Melbourne Airport",30,208.54,1,66.82,6.95
401011001,"Adelaide",142,2551.06,35,2194.41,17.97
117031337,"Sydney - Haymarket - The Rocks",594,12269.69,141,9392.49,20.66
120031391,"Burwood - Croydon",5,0.00,0,0.00,0.00
206041117,"Carlton",20,410.41,5,324.42,20.52
206041122,"Melbourne",385,6308.33,87,4995.04,16.39
123011433,"Camden - Ellis Lane",3,62.49,1,62.49,20.83
126021499,"Hunters Hill - Woolwich",4,48.83,0,0.00,12.21
209041435,"South Morang (North)",7,173.78,0,0.00,24.83
206041123,"North Melbourne",29,429.97,6,389.95,14.83
206051129,"Elwood",5,17.79,0,0.00,3.56
209041431,"Epping - East",1,0.00,0,0.00,0.00
401011002,"North Adelaide",36,373.16,5,311.58,10.37
507031172,"Hope Valley - Postans",1,0.00,0,0.00,0.00
120031394,"Dulwich Hill - Lewisham",4,64.76,1,64.76,16.19
212021295,"Doveton",3,27.89,1,68.08,9.30
213051366,"Truganina",1,0.00,0,0.00,0.00
310011276,"Wacol",1,0.00,0,0.00,0.00
206041126,"Southbank",50,757.21,14,527.57,15.14
117011325,"Sydney Airport",43,411.54,5,241.63,9.57
117031338,"Waterloo - Beaconsfield",20,318.20,7,183.57,15.91
122011419,"Manly - Fairlight",24,722.97,7,514.16,30.12
128011530,"Miranda - Yowie Bay",5,25.00,0,0.00,5.00
118011339,"Bondi - Tamarama - Bronte",48,690.87,10,550.15,14.39
117031335,"Redfern - Chippendale",45,916.49,12,636.66,20.37
311061333,"Slacks Creek",4,173.05,2,136.93,43.26
