RegionId,Name,Observations,Sum,Sentiment
117031334,"Pyrmont - Ultimo",194,9338.71,48.14
117031337,"Sydney - Haymarket - The Rocks",2969,145597.10,49.04
213011336,"Sunshine",2,98.78,49.39
507021165,"Fremantle",257,11669.55,45.41
506041133,"Canning Vale - East",5,64.11,12.82
118011339,"Bondi - Tamarama - Bronte",159,6778.42,42.63
303051076,"Rocklea - Acacia Ridge",10,378.30,37.83
503021041,"Perth City",1165,50354.31,43.22
206041122,"Melbourne",2316,113492.47,49.00
305011105,"Brisbane City",1280,66168.56,51.69
303021059,"Yeronga",21,382.83,18.23
301021527,"Redland Islands",29,1434.34,49.46
302031036,"Brisbane Airport",211,8259.70,39.15
206051128,"Albert Park",124,6478.31,52.24
305011106,"Fortitude Valley",153,5373.15,35.12
403011057,"Glenelg (SA)",69,3390.40,49.14
601051027,"Hobart",431,16568.40,38.44
122031432,"Terrey Hills - Duffys Forest",5,353.97,70.79
206041126,"Southbank",758,34384.07,45.36
206071142,"Fitzroy",142,5485.08,38.63
117011325,"Sydney Airport",296,10849.79,36.65
101021011,"Queanbeyan Region",65,-77.41,-1.19
213051468,"Werribee - West",2,116.31,58.16
122011419,"Manly - Fairlight",116,5614.41,48.40
123031446,"Douglas Park - Appin",7,38.90,5.56
206051134,"St Kilda East",20,661.80,33.09
206041120,"Flemington Racecourse",80,3906.75,48.83
206041124,"Parkville",37,1269.00,34.30
209021207,"Reservoir - East",3,-59.37,-19.79
206051131,"Port Melbourne Industrial",21,1029.78,49.04
601031017,"Glenorchy",4,258.32,64.58
305011110,"South Brisbane",435,20233.24,46.51
206041118,"Docklands",130,5367.50,41.29
118011345,"Paddington - Moore Park",146,6939.38,47.53
206071141,"Collingwood",50,2281.95,45.64
124011454,"Springwood - Winmalee",2,32.89,16.45
206041117,"Carlton",106,4309.15,40.65
206061136,"Prahran - Windsor",70,3245.53,46.36
210051248,"Melbourne Airport",300,9246.45,30.82
121041415,"Mosman",71,3167.47,44.61
118011341,"Bondi Junction - Waverly",24,671.29,27.97
116011306,"Doonside - Woodcroft",10,531.89,53.19
206041123,"North Melbourne",67,2967.88,44.30
206061137,"South Yarra - East",68,2887.78,42.47
206051132,"South Melbourne",92,4044.17,43.96
506071147,"South Perth - Kensington",24,983.67,40.99
601021005,"Cambridge",109,3439.94,31.56
401011001,"Adelaide",1140,48694.88,42.71
206041119,"East Melbourne",412,18059.79,43.83
213051464,"Point Cook - East",6,190.52,31.75
801061068,"Parkes (ACT) - South",545,24159.43,44.33
117031332,"Newtown - Camperdown - Darlington",126,5450.61,43.26
401021004,"Aldgate - Stirling",21,712.84,33.94
120011383,"Concord - Mortlake - Cabarita",6,366.22,61.04
126021500,"Macquarie Park - Marsfield",19,899.33,47.33
403041083,"McLaren Vale",77,2862.89,37.18
601051031,"Sandy Bay",144,6559.35,45.55
107041148,"Thirroul - Austinmer - Coalcliff",27,1066.07,39.48
801051051,"Braddon",65,2386.59,36.72
801031114,"Canberra Airport",58,2767.37,47.71
505011070,"Craigie - Beldon",1,-22.63,-22.63
506021123,"Victoria Park - Lathlain - Burswood",94,4155.46,44.21
