RegionId,Name,Count,SumSentiment,CountExc,SumNeutralExc,Sentiment
1143569,"12301143569",1,57.19,1,57.19,57.19
5109411,"50502109411",1,40.19,0,0.00,40.19
6102715,"60105102715",1,-74.05,1,-74.05,-74.05
2113904,"20607113904",6,51.06,1,51.06,8.51
5118803,"50705118803",2,40.72,0,0.00,20.36
8108501,"80107108501",11,44.04,0,0.00,4.00
8113110,"80106113110",7,87.86,0,0.00,12.55
2114202,"20607114202",16,-16.33,1,-61.24,-1.02
1132653,"11702132653",13,33.06,1,61.14,2.54
2127415,"21105127415",1,0.00,0,0.00,0.00
1142338,"12202142338",19,804.12,9,630.65,42.32
2111608,"20603111608",5,105.38,1,85.44,21.08
2124801,"21005124801",30,208.54,1,66.82,6.95
4100115,"40101100115",58,813.38,13,781.93,14.02
1133748,"11703133748",54,1717.02,14,1116.69,31.80
1139104,"12003139104",2,0.00,0,0.00,0.00
2111726,"20604111726",1,0.00,0,0.00,0.00
2112216,"20604112216",2,62.49,1,62.49,31.25
2112209,"20604112209",188,2428.90,39,2007.70,12.92
1143314,"12301143314",1,0.00,0,0.00,0.00
1149902,"12602149902",2,48.83,0,0.00,24.42
2143523,"20904143523",7,173.78,0,0.00,24.83
2112330,"20604112330",10,143.15,2,143.15,14.32
1133740,"11703133740",13,306.86,5,369.78,23.60
2112238,"20604112238",1,62.49,1,62.49,62.49
2112918,"20605112918",5,17.79,0,0.00,3.56
2143115,"20904143115",1,0.00,0,0.00,0.00
4100203,"40101100203",3,85.02,1,70.50,28.34
5117202,"50703117202",1,0.00,0,0.00,0.00
1139404,"12003139404",2,0.00,0,0.00,0.00
2129526,"21202129526",3,27.89,1,68.08,9.30
1133716,"11703133716",17,137.22,2,-0.17,8.07
2136611,"21305136611",1,0.00,0,0.00,0.00
3127613,"31001127613",1,0.00,0,0.00,0.00
1133723,"11703133723",198,4190.45,50,3478.24,21.16
2112622,"20604112622",6,128.63,3,83.65,21.44
1132501,"11701132501",43,411.54,5,241.63,9.57
2112248,"20604112248",6,57.19,1,57.19,9.53
1133843,"11703133843",2,0.00,0,0.00,0.00
1132658,"11702132658",9,91.55,1,52.67,10.17
1141937,"12201141937",3,59.94,1,59.94,19.98
1153013,"12801153013",1,0.00,0,0.00,0.00
1133919,"11801133919",11,258.77,5,230.48,23.52
1133533,"11703133533",7,121.79,2,126.95,17.40
3133305,"31106133305",3,173.05,2,136.93,57.68
3138340,"31401138340",5,212.01,3,184.69,42.40
1136808,"11903136808",1,57.19,1,57.19,57.19
8100204,"80101100204",6,102.23,1,73.45,17.04
2112210,"20604112210",6,49.95,0,0.00,8.33
5104181,"50302104181",68,1272.47,19,1026.24,18.71
2112225,"20604112225",20,287.31,5,177.81,14.37
2113902,"20607113902",3,31.79,1,63.61,10.60
3104014,"30203104014",3,0.00,0,0.00,0.00
1134008,"11801134008",3,36.12,0,0.00,12.04
1133452,"11703133452",12,141.88,1,83.16,11.82
2111911,"20604111911",47,-71.67,12,-128.83,-1.52
3105801,"30302105801",2,0.00,0,0.00,0.00
1145440,"12401145440",2,36.12,0,0.00,18.06
8106801,"80106106801",56,605.04,6,346.41,10.80
1130207,"11504130207",1,59.94,1,59.94,59.94
1133310,"11703133310",5,0.00,0,0.00,0.00
5112740,"50603112740",2,0.00,0,0.00,0.00
3111006,"30501111006",12,34.00,0,0.00,2.83
1133746,"11703133746",75,1406.28,15,1025.50,18.75
2128214,"21105128214",1,0.00,0,0.00,0.00
1133706,"11703133706",14,235.07,2,135.02,16.79
1156418,"11802156418",7,0.00,0,0.00,0.00
2112247,"20604112247",24,110.57,2,118.11,4.61
2126019,"21101126019",1,62.49,1,62.49,62.49
2129723,"21202129723",4,0.00,0,0.00,0.00
4100111,"40101100111",11,150.84,2,150.84,13.71
1133509,"11703133509",1,0.00,0,0.00,0.00
1138619,"12001138619",2,38.02,0,0.00,19.01
1134510,"11801134510",5,156.18,2,156.18,31.24
1147312,"12501147312",20,532.11,4,283.45,26.61
1133508,"11703133508",7,129.42,0,0.00,18.49
2112243,"20604112243",6,10.27,0,0.00,1.71
1133216,"11703133216",2,84.36,1,84.36,42.18
4108723,"40304108723",2,79.06,1,79.06,39.53
4101815,"40105101815",1,0.00,0,0.00,0.00
1141570,"12104141570",3,-46.73,1,-66.96,-15.58
1133251,"11703133251",1,0.00,0,0.00,0.00
5111811,"50602111811",1,80.20,1,80.20,80.20
1141719,"12104141719",2,67.84,1,67.84,33.92
1135019,"11802135019",7,16.57,1,65.88,2.37
2114215,"20607114215",2,0.00,0,0.00,0.00
1133728,"11703133728",7,256.19,2,137.36,36.60
1132248,"11701132248",5,208.38,2,164.34,41.68
1133254,"11703133254",11,141.97,2,114.75,12.91
5106616,"50403106616",1,-40.19,0,0.00,-40.19
2112211,"20604112211",6,45.00,0,0.00,7.50
1135919,"11901135919",1,0.00,0,0.00,0.00
2127126,"21104127126",1,-29.60,0,0.00,-29.60
1155302,"11501155302",1,55.63,1,55.63,55.63
1150314,"12602150314",21,0.00,0,0.00,0.00
2113101,"20605113101",2,0.00,0,0.00,0.00
5109216,"50502109216",1,0.00,0,0.00,0.00
1133623,"11703133623",4,79.59,1,79.59,19.90
4102406,"40107102406",1,0.00,0,0.00,0.00
1133337,"11703133337",1,0.00,0,0.00,0.00
1133322,"11703133322",1,0.00,0,0.00,0.00
1132804,"11702132804",4,160.40,2,160.40,40.10
2143216,"20904143216",1,0.00,0,0.00,0.00
1133734,"11703133734",2,128.27,1,79.01,64.14
1140064,"12101140064",3,0.00,0,0.00,0.00
3111202,"30501111202",3,-11.74,1,-65.97,-3.91
5103005,"50301103005",1,72.69,1,72.69,72.69
1133230,"11703133230",4,-29.42,0,0.00,-7.36
2112231,"20604112231",9,249.01,2,157.37,27.67
1129008,"11501129008",1,0.00,0,0.00,0.00
2112223,"20604112223",9,255.38,3,175.22,28.38
4103601,"40203103601",4,109.37,1,89.34,27.34
1146734,"12404146734",2,0.00,0,0.00,0.00
3110509,"30501110509",105,1911.63,21,1136.82,18.21
2110819,"20601110819",1,0.00,0,0.00,0.00
4104431,"40204104431",3,-4.07,0,0.00,-1.36
3111008,"30501111008",24,549.35,6,406.53,22.89
2132731,"21205132731",3,79.85,1,52.67,26.62
1132203,"11701132203",1,54.11,1,54.11,54.11
1133744,"11703133744",11,243.60,3,248.36,22.15
2113308,"20605113308",7,165.75,2,116.36,23.68
8100308,"80101100308",3,68.74,0,0.00,22.91
1148537,"12503148537",3,58.59,1,58.59,19.53
1147739,"12502147739",2,16.28,0,0.00,8.14
8111401,"80103111401",6,-42.15,0,0.00,-7.03
3108032,"30306108032",1,0.00,0,0.00,0.00
2114013,"20607114013",2,0.00,0,0.00,0.00
3110512,"30501110512",29,950.18,10,753.46,32.76
1133513,"11703133513",9,52.19,2,114.75,5.80
1134011,"11801134011",22,290.56,5,189.61,13.21
8108801,"80107108801",2,0.00,0,0.00,0.00
1133727,"11703133727",21,432.43,6,389.23,20.59
5104160,"50302104160",6,76.44,1,76.44,12.74
1132625,"11702132625",3,0.00,0,0.00,0.00
2117307,"20801117307",1,0.00,0,0.00,0.00
1139109,"12003139109",3,0.00,0,0.00,0.00
1133209,"11703133209",7,219.33,4,248.75,31.33
2112222,"20604112222",1,59.94,1,59.94,59.94
1130327,"11601130327",3,77.17,1,77.17,25.72
1156616,"11802156616",1,0.00,0,0.00,0.00
2114465,"20607114465",1,57.19,1,57.19,57.19
5114523,"50607114523",2,0.00,0,0.00,0.00
2112610,"20604112610",3,44.04,0,0.00,14.68
1133223,"11703133223",4,159.12,2,109.86,39.78
1137537,"11904137537",1,27.32,0,0.00,27.32
1133741,"11703133741",12,483.96,7,441.95,40.33
1160452,"12801160452",3,-16.63,0,0.00,-5.54
3102814,"30202102814",1,0.00,0,0.00,0.00
1133413,"11703133413",5,206.73,2,148.60,41.35
3105804,"30302105804",3,-59.20,0,0.00,-19.73
1141605,"12104141605",1,0.00,0,0.00,0.00
5104021,"50302104021",8,344.52,4,295.40,43.07
2113229,"20605113229",22,462.30,8,390.01,21.01
4109222,"40401109222",1,0.00,0,0.00,0.00
1142029,"12202142029",6,92.86,1,52.67,15.48
1133043,"11703133043",5,-43.11,1,-54.23,-8.62
1133756,"11703133756",4,89.49,1,63.60,22.37
2112212,"20604112212",44,1034.46,11,827.12,23.51
5104182,"50302104182",1,69.96,1,69.96,69.96
2129720,"21202129720",6,97.69,1,63.69,16.28
2112230,"20604112230",3,10.59,0,0.00,3.53
1134121,"11801134121",1,40.19,0,0.00,40.19
1132652,"11702132652",4,168.67,2,136.85,42.17
4100135,"40101100135",6,-65.97,1,-65.97,-11.00
2132646,"21205132646",1,36.12,0,0.00,36.12
2112832,"20605112832",9,173.09,3,212.63,19.23
5103116,"50301103116",9,264.16,4,261.86,29.35
1133704,"11703133704",22,349.09,4,268.93,15.87
6100521,"60102100521",1,0.00,0,0.00,0.00
1133822,"11703133822",3,139.58,1,84.94,46.53
2112229,"20604112229",2,53.15,1,80.47,26.58
2112507,"20604112507",6,129.30,3,85.26,21.55
5109316,"50502109316",1,0.00,0,0.00,0.00
1133610,"11703133610",10,72.49,1,59.94,7.25
1133026,"11703133026",3,110.93,1,74.81,36.98
2112612,"20604112612",7,141.53,2,114.21,20.22
5104157,"50302104157",2,0.00,0,0.00,0.00
6100716,"60102100716",9,218.86,7,222.24,24.32
5112102,"50602112102",7,11.62,1,77.17,1.66
6102720,"60105102720",15,326.32,2,161.39,21.75
5111426,"50601111426",6,48.24,0,0.00,8.04
1138633,"12001138633",2,0.00,0,0.00,0.00
5104152,"50302104152",7,214.85,3,178.73,30.69
2138319,"21402138319",3,156.14,2,156.14,52.05
2114103,"20607114103",4,48.38,1,63.69,12.10
1133720,"11703133720",12,218.82,5,203.51,18.24
1133819,"11703133819",4,59.94,1,59.94,14.99
1133248,"11703133248",9,213.53,2,140.86,23.73
3111310,"30502111310",1,0.00,0,0.00,0.00
2128229,"21105128229",2,0.00,0,0.00,0.00
3102418,"30201102418",2,0.00,0,0.00,0.00
1130413,"11601130413",2,-41.84,0,0.00,-20.92
2112001,"20604112001",3,0.00,0,0.00,0.00
1140242,"12101140242",2,96.02,1,75.79,48.01
1133747,"11703133747",8,91.81,2,135.85,11.48
1134114,"11801134114",3,205.91,3,205.91,68.64
