RegionId,Name,Observations,Sum,Sentiment
4100141,"40101100141",1062,39319.54,37.02
3100407,"30101100407",82,4355.40,53.11
2115336,"20701115336",3,108.30,36.10
5104233,"50302104233",352,20078.57,57.04
5112813,"50603112813",450,11562.75,25.70
5104173,"50302104173",11,631.06,57.37
5109624,"50502109624",47,1958.27,41.67
1133710,"11703133710",70,3837.21,54.82
1133723,"11703133723",11093,527451.77,47.55
5104181,"50302104181",7031,330501.18,47.01
5107522,"50501107522",73,3629.43,49.72
5115213,"50701115213",25,1169.25,46.77
1133414,"11703133414",116,5004.11,43.14
1133622,"11703133622",198,9059.54,45.76
1132501,"11701132501",1387,55150.67,39.76
3103105,"30202103105",23,511.78,22.25
3100808,"30102100808",6,427.34,71.22
3125310,"30907125310",249,8514.97,34.20
3138502,"31401138502",27,1624.31,60.16
2112212,"20604112212",4510,203645.14,45.15
2112209,"20604112209",1383,63226.23,45.72
2112210,"20604112210",284,11595.29,40.83
2112225,"20604112225",1569,70508.15,44.94
2110860,"20601110860",27,1604.81,59.44
2112219,"20604112219",166,6470.83,38.98
1133452,"11703133452",322,10115.45,31.41
1133727,"11703133727",399,18081.97,45.32
1133750,"11703133750",1990,91545.35,46.00
1103226,"10201103226",196,11699.28,59.69
1140107,"12101140107",39,1655.25,42.44
3110512,"30501110512",2024,27785.77,13.73
3104022,"30203104022",39,690.78,17.71
3110509,"30501110509",6823,306976.95,44.99
3110608,"30501110608",302,12481.12,41.33
3111014,"30501111014",284,15218.40,53.59
3100437,"30101100437",60,1901.41,31.69
2112222,"20604112222",189,7403.94,39.17
2143705,"20904143705",19,1835.48,96.60
2116013,"20702116013",3,157.22,52.41
2110541,"20601110541",162,6027.72,37.21
2112622,"20604112622",790,32732.48,41.43
2112623,"20604112623",2113,98239.36,46.49
2133602,"21301133602",26,1349.63,51.91
2115004,"20701115004",5,380.02,76.00
2131920,"21205131920",977,-18201.25,-18.63
2133524,"21301133524",4,234.63,58.66
2112245,"20604112245",6588,306160.60,46.47
2136545,"21305136545",34,1605.15,47.21
2125430,"21101125430",560,23939.66,42.75
