Location,YearMth,AverageSentiment
Adelaide,2017-06-01,0.221371363131623
Adelaide,2017-07-01,0.250956078371722
Adelaide,2017-08-01,0.226861464400614
Adelaide,2017-09-01,0.236153152619578
Adelaide,2017-10-01,0.218853814344804
Adelaide,2017-11-01,0.212246879383641
Adelaide,2017-12-01,0.211991356680198
Adelaide,2018-01-01,0.238575046049235
Adelaide,2018-02-01,0.256586677863494
Adelaide,2018-03-01,0.227470095466299
Adelaide,2018-04-01,0.22049220829982
Brisbane,2016-12-01,0.3183625
Brisbane,2017-01-01,0.391525840807175
Brisbane,2017-06-01,0.242254178384651
Brisbane,2017-07-01,0.240924410329278
Brisbane,2017-08-01,0.229282602517299
Brisbane,2017-09-01,0.227303015167399
Brisbane,2017-10-01,0.218760883832778
Brisbane,2017-11-01,0.227162782389631
Brisbane,2017-12-01,0.229534576290699
Brisbane,2018-01-01,0.250555696732325
Brisbane,2018-02-01,0.219507878020703
Brisbane,2018-03-01,0.249437626903792
Brisbane,2018-04-01,0.24568120925533
Canberra,2017-06-01,0.179964808077888
Canberra,2017-07-01,0.168432175642099
Canberra,2017-08-01,0.134667669346483
Canberra,2017-09-01,0.144563146442349
Canberra,2017-10-01,0.129642378567479
Canberra,2017-11-01,0.124119686142278
Canberra,2017-12-01,0.137386966880929
Canberra,2018-01-01,0.185222262495887
Canberra,2018-02-01,0.11955708727923
Canberra,2018-03-01,0.140959243354653
Canberra,2018-04-01,0.167736659737939
Hobart,2017-06-01,0.156961168266242
Hobart,2017-07-01,0.170500061203991
Hobart,2017-08-01,0.10701621628761
Hobart,2017-09-01,0.14420931161759
Hobart,2017-10-01,0.0959795974163982
Hobart,2017-11-01,0.107669762983415
Hobart,2017-12-01,0.142162945943338
Hobart,2018-01-01,0.0559535571825285
Hobart,2018-02-01,0.132240026447374
Hobart,2018-03-01,0.165877724494335
Hobart,2018-04-01,0.321144125824938
Melbourne,2017-06-01,0.195620016880174
Melbourne,2017-07-01,0.211241342556807
Melbourne,2017-08-01,0.216225181570723
Melbourne,2017-09-01,0.202199094056636
Melbourne,2017-10-01,0.20052415919033
Melbourne,2017-11-01,0.18190530481613
Melbourne,2017-12-01,0.211985107283238
Melbourne,2018-01-01,0.197115742550192
Melbourne,2018-02-01,0.209658575080895
Melbourne,2018-03-01,0.212430172761386
Melbourne,2018-04-01,0.210555019890121
Perth,2017-06-01,0.228953970675987
Perth,2017-07-01,0.239365549744833
Perth,2017-08-01,0.249027468714048
Perth,2017-09-01,0.200869897228377
Perth,2017-10-01,0.227678585740279
Perth,2017-11-01,0.193471690820101
Perth,2017-12-01,0.24212463864993
Perth,2018-01-01,0.240294417645385
Perth,2018-02-01,0.200527879501675
Perth,2018-03-01,0.222772208977133
Perth,2018-04-01,0.215136725302362
Sydney,2017-06-01,0.217046021801851
Sydney,2017-07-01,0.226101115783127
Sydney,2017-08-01,0.20257932653316
Sydney,2017-09-01,0.214274038337164
Sydney,2017-10-01,0.202241162651388
Sydney,2017-11-01,0.215578594841494
Sydney,2017-12-01,0.251223621427556
Sydney,2018-01-01,0.225333510191049
Sydney,2018-02-01,0.239778460201738
Sydney,2018-03-01,0.239530987235701
Sydney,2018-04-01,0.238046290605805
