Location,SentimentBand,Count,Total
Melbourne,25,522181,30778259
Melbourne,30,549841,30778259
Melbourne,35,681949,30778259
Melbourne,40,1020002,30778259
Melbourne,45,1036043,30778259
Melbourne,50,848962,30778259
Melbourne,55,740011,30778259
Melbourne,60,948255,30778259
Melbourne,65,883775,30778259
Melbourne,70,681359,30778259
Melbourne,75,710784,30778259
Melbourne,80,673526,30778259
Melbourne,85,657007,30778259
Melbourne,90,497795,30778259
Melbourne,95,299329,30778259
Melbourne,100,53745,30778259
Perth,-95,1218,10168574
Perth,-90,11010,10168574
Perth,-85,29594,10168574
Perth,-80,47587,10168574
Perth,-75,79230,10168574
Perth,-70,79786,10168574
Perth,-65,84793,10168574
Perth,-60,90646,10168574
Perth,-55,113175,10168574
Perth,-50,166828,10168574
Perth,-45,214951,10168574
Perth,-40,93110,10168574
Perth,-35,146757,10168574
Perth,-30,133023,10168574
Perth,-25,185670,10168574
Perth,-20,117834,10168574
Perth,-15,77651,10168574
Perth,-10,147193,10168574
Perth,-5,77134,10168574
Perth,0,4250439,10168574
Perth,5,54392,10168574
Perth,10,107002,10168574
Perth,15,83983,10168574
Perth,20,118665,10168574
Perth,25,184798,10168574
Perth,30,174857,10168574
Perth,35,228849,10168574
Perth,40,347621,10168574
Perth,45,349078,10168574
Perth,50,278616,10168574
Perth,55,249485,10168574
Perth,60,305006,10168574
Perth,65,286922,10168574
Perth,70,245039,10168574
Perth,75,242083,10168574
Perth,80,218285,10168574
Perth,85,231259,10168574
Perth,90,176370,10168574
Perth,95,117879,10168574
Perth,100,20756,10168574
Sydney,-95,5807,32436480
Sydney,-90,40615,32436480
Sydney,-85,122436,32436480
Sydney,-80,171450,32436480
Sydney,-75,211127,32436480
Sydney,-70,234617,32436480
Sydney,-65,267000,32436480
Sydney,-60,369744,32436480
Sydney,-55,377328,32436480
Sydney,-50,519174,32436480
Sydney,-45,488068,32436480
Sydney,-40,296236,32436480
Sydney,-35,440327,32436480
Sydney,-30,395667,32436480
Sydney,-25,565371,32436480
Sydney,-20,364063,32436480
Sydney,-15,232431,32436480
Sydney,-10,296160,32436480
Sydney,-5,241462,32436480
Sydney,0,14605231,32436480
Sydney,5,195057,32436480
Sydney,10,334632,32436480
Sydney,15,246245,32436480
Sydney,20,378128,32436480
Sydney,25,564563,32436480
Sydney,30,504994,32436480
Sydney,35,716616,32436480
Sydney,40,1033848,32436480
Sydney,45,1077618,32436480
Sydney,50,834058,32436480
Sydney,55,797477,32436480
Sydney,60,986855,32436480
Sydney,65,888037,32436480
Sydney,70,676063,32436480
Sydney,75,710700,32436480
Sydney,80,642396,32436480
Sydney,85,685984,32436480
Sydney,90,543620,32436480
Sydney,95,323939,32436480
Sydney,100,51336,32436480
