RegionId,Name,Observations,Sum,Sentiment
403011057,"Glenelg (SA)",772,34290.33,44.42
305011112,"West End",561,24276.45,43.27
601051027,"Hobart",1569,56150.09,35.79
102011030,"Calga - Kulnura",514,3089.95,6.01
206061137,"South Yarra - East",1205,56734.15,47.08
503011035,"Nedlands - Dalkeith - Crawley",403,10405.55,25.82
506011117,"Seville Grove",3,163.19,54.40
503021043,"Wembley - West Leederville - Glendalough",159,7142.94,44.92
122021421,"Bayview - Elanora Heights",175,7644.60,43.68
214011371,"Frankston",272,10704.93,39.36
213051468,"Werribee - West",25,519.58,20.78
207011151,"Hawthorn",484,19174.29,39.62
209041223,"Thomastown",176,4875.42,27.70
206071141,"Collingwood",1095,55761.16,50.92
208011169,"Brighton (Vic.)",949,43846.15,46.20
206061135,"Armadale",533,26298.36,49.34
213021344,"Newport",215,8461.80,39.36
118021565,"Kingsford",76,3641.97,47.92
127031598,"Liverpool",129,6744.63,52.28
117031338,"Waterloo - Beaconsfield",735,27355.99,37.22
122021420,"Avalon - Palm Beach",637,28986.81,45.51
118011340,"Bondi Beach - North Bondi",1915,90015.98,47.01
117031335,"Redfern - Chippendale",1651,71454.86,43.28
126021591,"Ryde",187,8634.35,46.17
125031481,"Granville - Clyde",119,5330.56,44.79
121011398,"Chatswood (East) - Artarmon",533,21744.52,40.80
208031188,"Cheltenham - Highett (East)",142,5507.06,38.78
208031189,"Edithvale - Aspendale",101,4347.30,43.04
122031432,"Terrey Hills - Duffys Forest",97,3669.87,37.83
122011419,"Manly - Fairlight",1483,66245.26,44.67
117031329,"Darlinghurst",1716,69934.65,40.75
123021440,"Ingleburn - Denham Court",71,2425.41,34.16
208031190,"Mentone",151,3620.29,23.98
214011370,"Carrum Downs",101,319.54,3.16
206071142,"Fitzroy",2121,84252.63,39.72
207011147,"Balwyn",82,3462.56,42.23
212041309,"Clarinda - Oakleigh South",26,1040.57,40.02
404031108,"Richmond (SA)",318,12760.98,40.13
314011383,"Cashmere",86,5179.70,60.23
503011034,"Mosman Park - Peppermint Grove",174,7109.79,40.86
102011034,"Kincumber - Picketts Valley",90,4242.40,47.14
122031431,"Narrabeen - Collaroy",819,39284.45,47.97
118021348,"Coogee - Clovelly",991,45233.06,45.64
305011109,"New Farm",550,24720.05,44.95
310041300,"Goodna",76,3088.63,40.64
506021122,"Rivervale - Kewdale - Cloverdale",290,11948.17,41.20
128011604,"Cronulla - Kurnell - Bundeena",760,32623.57,42.93
207021156,"Bulleen",82,3882.41,47.35
210051444,"Craigieburn - West",78,3372.40,43.24
801061068,"Parkes (ACT) - South",2619,111793.03,42.69
210051242,"Broadmeadows",51,1321.91,25.92
206041117,"Carlton",1144,48713.14,42.58
209011199,"Heidelberg West",65,3059.79,47.07
117031330,"Erskineville - Alexandria",1284,54499.86,42.45
121041417,"North Sydney - Lavender Bay",1036,42721.92,41.24
116031319,"Rooty Hill - Minchinbury",140,5772.39,41.23
117031331,"Glebe - Forest Lodge",618,27190.71,44.00
127021510,"Bossley Park - Abbotsbury",32,1684.29,52.63
118011346,"Rose Bay - Vaucluse - Watsons Bay",513,22258.44,43.39
122031429,"Freshwater - Brookvale",587,25404.85,43.28
125041492,"Parramatta - Rosehill",725,29431.02,40.59
121041415,"Mosman",789,36356.43,46.08
601031017,"Glenorchy",132,6003.49,45.48
603011066,"Derwent Valley",55,2704.74,49.18
601041025,"Mount Wellington",147,4883.99,33.22
314011386,"The Hills District",125,6865.04,54.92
101021011,"Queanbeyan Region",225,5898.59,26.22
311041321,"Jimboomba",54,2401.16,44.47
504031060,"Gidgegannup",12,486.66,40.56
503021039,"Mount Lawley - Inglewood",362,15266.93,42.17
503011031,"Claremont (WA)",385,17776.47,46.17
303031061,"Macgregor (Qld)",48,2550.07,53.13
303031065,"Upper Mount Gravatt",321,14890.77,46.39
305031128,"Newstead - Bowen Hills",893,33621.34,37.65
314021390,"North Lakes - Mango Hill",174,7426.22,42.68
208021176,"Carnegie",192,6564.78,34.19
102011039,"Terrigal - North Avoca",145,6598.38,45.51
213021341,"Altona",234,11548.74,49.35
214021385,"Somerville",60,2672.12,44.54
401021010,"Uraidla - Summertown",317,14178.34,44.73
402041171,"Mawson Lakes - Globe Derby Park",231,9390.81,40.65
101061542,"Yass Region",346,16616.05,48.02
801051124,"Campbell",1432,-22258.78,-15.54
801051051,"Braddon",196,8079.06,41.22
118021570,"Randwick - South",752,46726.90,62.14
121031408,"Lindfield - Roseville",128,5559.11,43.43
128021538,"Sutherland - Kirrawee",182,7711.13,42.37
117021328,"Sydenham - Tempe - St Peters",447,17406.99,38.94
311031312,"Browns Plains",82,3390.51,41.35
101021012,"Queanbeyan West - Jerrabomberra",243,4285.35,17.64
210051248,"Melbourne Airport",1211,44195.28,36.49
