RegionId,Name,Observations,Sentiment
11702,"Marrickville - Sydenham - Petersham",3641,0.1827
12101,"Chatswood - Lane Cove",8409,0.0733
11801,"Eastern Suburbs - North",22429,0.1705
12501,"Auburn",5827,0.1436
10201,"Gosford",3043,0.2196
11602,"Blacktown - North",559,0.1610
11603,"Mount Druitt",2059,0.1104
11901,"Bankstown",1053,0.2060
12104,"North Sydney - Mosman",5565,0.2004
12201,"Manly",3461,0.2340
12001,"Canada Bay",1622,0.1924
11802,"Eastern Suburbs - South",6007,0.2524
12802,"Sutherland - Menai - Heathcote",1326,0.2270
11701,"Botany",6543,0.1215
12403,"Penrith",2179,0.2769
11501,"Baulkham Hills",1397,0.2489
12405,"St Marys",338,0.1402
12103,"Ku-ring-gai",860,0.2043
12102,"Hornsby",1685,0.0959
12202,"Pittwater",2938,0.2542
11904,"Kogarah - Rockdale",1870,0.2137
12203,"Warringah",4729,0.2653
12703,"Liverpool",924,0.2506
11502,"Dural - Wisemans Ferry",482,0.1553
12503,"Merrylands - Guildford",1153,0.1551
12602,"Ryde - Hunters Hill",3491,0.1989
12702,"Fairfield",924,0.2394
11903,"Hurstville",1062,0.1699
12504,"Parramatta",2464,0.2004
11601,"Blacktown",1746,0.1352
12502,"Carlingford",337,0.2118
11503,"Hawkesbury",135,0.0158
12801,"Cronulla - Miranda - Caringbah",2942,0.2068
12404,"Richmond - Windsor",532,0.0945
12301,"Camden",651,0.1776
12303,"Wollondilly",90,0.0554
10704,"Wollongong",610,0.1873
10702,"Illawarra Catchment Reserve",15,0.2238
11902,"Canterbury",694,0.1746
12401,"Blue Mountains",341,0.1208
11504,"Rouse Hill - McGraths Hill",278,0.1672
12601,"Pennant Hills - Epping",292,0.2042
12402,"Blue Mountains - South",18,0.0051
40504,"Yorke Peninsula",1,0.4404
