RegionId,Name,Count,SumSentiment,CountExc,SumNeutralExc,Sentiment
31304,"Narangba - Burpengary",1,-44.04,0,0.00,-44.04
40205,"Tea Tree Gully",2,140.67,2,140.67,70.34
50201,"Mandurah",2,0.00,0,0.00,0.00
21003,"Moreland - North",1,0.00,0,0.00,0.00
12702,"Fairfield",1,-69.73,1,-69.73,-69.73
20702,"Manningham - West",3,39.56,0,0.00,13.19
31103,"Browns Plains",1,0.00,0,0.00,0.00
31002,"Ipswich Hinterland",1,0.00,0,0.00,0.00
21201,"Cardinia",1,49.39,0,0.00,49.39
40301,"Holdfast Bay",8,66.96,1,66.96,8.37
12405,"St Marys",1,33.82,0,0.00,33.82
40106,"Prospect - Walkerville",2,85.16,1,85.16,42.58
12103,"Ku-ring-gai",3,-73.53,1,-55.74,-24.51
60104,"Hobart - South and West",1,59.94,1,59.94,59.94
31305,"Redcliffe",2,0.00,0,0.00,0.00
40102,"Adelaide Hills",1,0.00,0,0.00,0.00
